relation,query,key,visible
causal,0,0,1
causal,0,1,0
causal,0,2,0
causal,1,0,1
causal,1,1,1
causal,1,2,0
causal,2,0,1
causal,2,1,1
causal,2,2,1
prefix,0,0,1
prefix,0,1,1
prefix,0,2,0
prefix,0,3,0
prefix,0,4,0
prefix,1,0,1
prefix,1,1,1
prefix,1,2,0
prefix,1,3,0
prefix,1,4,0
prefix,2,0,1
prefix,2,1,1
prefix,2,2,1
prefix,2,3,0
prefix,2,4,0
prefix,3,0,1
prefix,3,1,1
prefix,3,2,1
prefix,3,3,1
prefix,3,4,0
prefix,4,0,1
prefix,4,1,1
prefix,4,2,1
prefix,4,3,1
prefix,4,4,1
