record_type,group,id,value,threshold,decision
canary,inserted,synthetic-001,7.0,,exposure_bits
membership,out,0,0.0,0.985,0
membership,out,1,0.01,0.985,0
membership,out,2,0.02,0.985,0
membership,out,3,0.03,0.985,0
membership,out,4,0.04,0.985,0
membership,out,5,0.05,0.985,0
membership,out,6,0.06,0.985,0
membership,out,7,0.07,0.985,0
membership,out,8,0.08,0.985,0
membership,out,9,0.09,0.985,0
membership,out,10,0.1,0.985,0
membership,out,11,0.11,0.985,0
membership,out,12,0.12,0.985,0
membership,out,13,0.13,0.985,0
membership,out,14,0.14,0.985,0
membership,out,15,0.15,0.985,0
membership,out,16,0.16,0.985,0
membership,out,17,0.17,0.985,0
membership,out,18,0.18,0.985,0
membership,out,19,0.19,0.985,0
membership,out,20,0.2,0.985,0
membership,out,21,0.21,0.985,0
membership,out,22,0.22,0.985,0
membership,out,23,0.23,0.985,0
membership,out,24,0.24,0.985,0
membership,out,25,0.25,0.985,0
membership,out,26,0.26,0.985,0
membership,out,27,0.27,0.985,0
membership,out,28,0.28,0.985,0
membership,out,29,0.29,0.985,0
membership,out,30,0.3,0.985,0
membership,out,31,0.31,0.985,0
membership,out,32,0.32,0.985,0
membership,out,33,0.33,0.985,0
membership,out,34,0.34,0.985,0
membership,out,35,0.35,0.985,0
membership,out,36,0.36,0.985,0
membership,out,37,0.37,0.985,0
membership,out,38,0.38,0.985,0
membership,out,39,0.39,0.985,0
membership,out,40,0.4,0.985,0
membership,out,41,0.41,0.985,0
membership,out,42,0.42,0.985,0
membership,out,43,0.43,0.985,0
membership,out,44,0.44,0.985,0
membership,out,45,0.45,0.985,0
membership,out,46,0.46,0.985,0
membership,out,47,0.47,0.985,0
membership,out,48,0.48,0.985,0
membership,out,49,0.49,0.985,0
membership,out,50,0.5,0.985,0
membership,out,51,0.51,0.985,0
membership,out,52,0.52,0.985,0
membership,out,53,0.53,0.985,0
membership,out,54,0.54,0.985,0
membership,out,55,0.55,0.985,0
membership,out,56,0.56,0.985,0
membership,out,57,0.57,0.985,0
membership,out,58,0.58,0.985,0
membership,out,59,0.59,0.985,0
membership,out,60,0.6,0.985,0
membership,out,61,0.61,0.985,0
membership,out,62,0.62,0.985,0
membership,out,63,0.63,0.985,0
membership,out,64,0.64,0.985,0
membership,out,65,0.65,0.985,0
membership,out,66,0.66,0.985,0
membership,out,67,0.67,0.985,0
membership,out,68,0.68,0.985,0
membership,out,69,0.69,0.985,0
membership,out,70,0.7,0.985,0
membership,out,71,0.71,0.985,0
membership,out,72,0.72,0.985,0
membership,out,73,0.73,0.985,0
membership,out,74,0.74,0.985,0
membership,out,75,0.75,0.985,0
membership,out,76,0.76,0.985,0
membership,out,77,0.77,0.985,0
membership,out,78,0.78,0.985,0
membership,out,79,0.79,0.985,0
membership,out,80,0.8,0.985,0
membership,out,81,0.81,0.985,0
membership,out,82,0.82,0.985,0
membership,out,83,0.83,0.985,0
membership,out,84,0.84,0.985,0
membership,out,85,0.85,0.985,0
membership,out,86,0.86,0.985,0
membership,out,87,0.87,0.985,0
membership,out,88,0.88,0.985,0
membership,out,89,0.89,0.985,0
membership,out,90,0.9,0.985,0
membership,out,91,0.91,0.985,0
membership,out,92,0.92,0.985,0
membership,out,93,0.93,0.985,0
membership,out,94,0.94,0.985,0
membership,out,95,0.95,0.985,0
membership,out,96,0.96,0.985,0
membership,out,97,0.97,0.985,0
membership,out,98,0.98,0.985,0
membership,out,99,0.99,0.985,1
membership,in,100,0.2,0.985,0
membership,in,101,0.5,0.985,0
membership,in,102,0.7,0.985,0
membership,in,103,0.8,0.985,0
membership,in,104,0.9,0.985,0
membership,in,105,0.96,0.985,0
membership,in,106,0.97,0.985,0
membership,in,107,0.98,0.985,0
membership,in,108,0.99,0.985,1
membership,in,109,1.0,0.985,1
unlearning,unlearned,0,0.5,0.45,0.04999999999999999
unlearning,unlearned,1,0.5,0.55,0.050000000000000044
unlearning,unlearned,2,0.4,0.35,0.050000000000000044
unlearning,unlearned,3,0.2,0.25,0.04999999999999999
