eta_lambda,rho,class
0.0,0.9999999999999994,unstable
0.01,0.9486832980505138,complex_damped
0.02,0.9486832980505138,complex_damped
0.03,0.9486832980505138,complex_damped
0.04,0.9486832980505138,complex_damped
0.05,0.9486832980505138,complex_damped
0.06,0.9486832980505138,complex_damped
0.07,0.9486832980505138,complex_damped
0.08,0.9486832980505138,complex_damped
0.09,0.9486832980505138,complex_damped
0.1,0.9486832980505138,complex_damped
0.11,0.9486832980505138,complex_damped
0.12,0.9486832980505138,complex_damped
0.13,0.9486832980505138,complex_damped
0.14,0.9486832980505138,complex_damped
0.15,0.9486832980505138,complex_damped
0.16,0.9486832980505138,complex_damped
0.17,0.9486832980505138,complex_damped
0.18,0.9486832980505138,complex_damped
0.19,0.9486832980505138,complex_damped
0.2,0.9486832980505138,complex_damped
0.21,0.9486832980505138,complex_damped
0.22,0.9486832980505138,complex_damped
0.23,0.9486832980505138,complex_damped
0.24,0.9486832980505138,complex_damped
0.25,0.9486832980505138,complex_damped
0.26,0.9486832980505138,complex_damped
0.27,0.9486832980505138,complex_damped
0.28,0.9486832980505138,complex_damped
0.29,0.9486832980505138,complex_damped
0.3,0.9486832980505138,complex_damped
0.31,0.9486832980505138,complex_damped
0.32,0.9486832980505138,complex_damped
0.33,0.9486832980505138,complex_damped
0.34,0.9486832980505138,complex_damped
0.35,0.9486832980505138,complex_damped
0.36,0.9486832980505138,complex_damped
0.37,0.9486832980505138,complex_damped
0.38,0.9486832980505138,complex_damped
0.39,0.9486832980505138,complex_damped
0.4,0.9486832980505138,complex_damped
0.41,0.9486832980505138,complex_damped
0.42,0.9486832980505138,complex_damped
0.43,0.9486832980505139,complex_damped
0.44,0.9486832980505139,complex_damped
0.45,0.9486832980505138,complex_damped
0.46,0.9486832980505139,complex_damped
0.47,0.9486832980505138,complex_damped
0.48,0.9486832980505138,complex_damped
0.49,0.9486832980505138,complex_damped
0.5,0.9486832980505138,complex_damped
0.51,0.9486832980505138,complex_damped
0.52,0.9486832980505138,complex_damped
0.53,0.9486832980505139,complex_damped
0.54,0.9486832980505138,complex_damped
0.55,0.9486832980505138,complex_damped
0.56,0.9486832980505138,complex_damped
0.57,0.9486832980505138,complex_damped
0.58,0.9486832980505138,complex_damped
0.59,0.9486832980505138,complex_damped
0.6,0.9486832980505138,complex_damped
0.61,0.9486832980505138,complex_damped
0.62,0.9486832980505138,complex_damped
0.63,0.9486832980505139,complex_damped
0.64,0.9486832980505138,complex_damped
0.65,0.9486832980505138,complex_damped
0.66,0.9486832980505138,complex_damped
0.67,0.9486832980505139,complex_damped
0.68,0.9486832980505138,complex_damped
0.69,0.9486832980505138,complex_damped
0.7,0.9486832980505138,complex_damped
0.71,0.9486832980505138,complex_damped
0.72,0.9486832980505138,complex_damped
0.73,0.9486832980505139,complex_damped
0.74,0.9486832980505138,complex_damped
0.75,0.9486832980505138,complex_damped
0.76,0.9486832980505138,complex_damped
0.77,0.9486832980505138,complex_damped
0.78,0.9486832980505138,complex_damped
0.79,0.9486832980505139,complex_damped
0.8,0.9486832980505138,complex_damped
0.81,0.9486832980505138,complex_damped
0.82,0.9486832980505139,complex_damped
0.83,0.9486832980505139,complex_damped
0.84,0.9486832980505138,complex_damped
0.85,0.9486832980505138,complex_damped
0.86,0.9486832980505138,complex_damped
0.87,0.9486832980505139,complex_damped
0.88,0.9486832980505138,complex_damped
0.89,0.9486832980505138,complex_damped
0.9,0.9486832980505139,complex_damped
0.91,0.9486832980505138,complex_damped
0.92,0.9486832980505139,complex_damped
0.93,0.9486832980505138,complex_damped
0.94,0.9486832980505138,complex_damped
0.95,0.9486832980505138,complex_damped
0.96,0.9486832980505138,complex_damped
0.97,0.9486832980505138,complex_damped
0.98,0.9486832980505139,complex_damped
0.99,0.9486832980505139,complex_damped
1.0,0.9486832980505138,complex_damped
1.01,0.9486832980505139,complex_damped
1.02,0.9486832980505138,complex_damped
1.03,0.9486832980505139,complex_damped
1.04,0.9486832980505138,complex_damped
1.05,0.9486832980505139,complex_damped
1.06,0.9486832980505138,complex_damped
1.07,0.9486832980505138,complex_damped
1.08,0.9486832980505138,complex_damped
1.09,0.9486832980505138,complex_damped
1.1,0.9486832980505138,complex_damped
1.11,0.9486832980505138,complex_damped
1.12,0.9486832980505138,complex_damped
1.13,0.9486832980505139,complex_damped
1.14,0.9486832980505138,complex_damped
1.15,0.9486832980505138,complex_damped
1.16,0.9486832980505138,complex_damped
1.17,0.9486832980505138,complex_damped
1.18,0.9486832980505138,complex_damped
1.19,0.9486832980505138,complex_damped
1.2,0.9486832980505138,complex_damped
1.21,0.9486832980505139,complex_damped
1.22,0.9486832980505138,complex_damped
1.23,0.9486832980505138,complex_damped
1.24,0.9486832980505138,complex_damped
1.25,0.9486832980505138,complex_damped
1.26,0.9486832980505138,complex_damped
1.27,0.9486832980505138,complex_damped
1.28,0.9486832980505138,complex_damped
1.29,0.9486832980505138,complex_damped
1.3,0.9486832980505138,complex_damped
1.31,0.9486832980505138,complex_damped
1.32,0.9486832980505138,complex_damped
1.33,0.9486832980505138,complex_damped
1.34,0.9486832980505138,complex_damped
1.35,0.9486832980505139,complex_damped
1.36,0.9486832980505138,complex_damped
1.37,0.9486832980505138,complex_damped
1.38,0.9486832980505139,complex_damped
1.39,0.9486832980505138,complex_damped
1.4,0.9486832980505138,complex_damped
1.41,0.9486832980505139,complex_damped
1.42,0.9486832980505138,complex_damped
1.43,0.9486832980505139,complex_damped
1.44,0.9486832980505138,complex_damped
1.45,0.9486832980505138,complex_damped
1.46,0.9486832980505138,complex_damped
1.47,0.9486832980505138,complex_damped
1.48,0.9486832980505138,complex_damped
