log10_sqrt_v,sqrt_v,root_out_eps_1e-8,root_in_eps_1e-16,root_in_same_literal_1e-8,epsilon_over_sqrt_v
-14,1e-14,9.99999000001e-07,9.999999999994998e-07,9.999999999999999e-11,1000000.0
-13,1e-13,9.999900000999989e-06,9.9999999995e-06,1e-09,100000.0
-12,1e-12,9.999000099990002e-05,9.999999950000001e-05,9.999999999999999e-09,10000.0
-11,1e-11,0.000999000999000999,0.000999999500000375,9.99999999999995e-08,1000.0000000000001
-10,1e-10,0.009900990099009901,0.009999500037496875,9.999999999995e-07,100.0
-9,1e-09,0.09090909090909091,0.09950371902099892,9.9999999995e-06,10.0
-8,1e-08,0.5,0.7071067811865475,9.999999950000001e-05,1.0
-7,1e-07,0.9090909090909091,0.9950371902099893,0.000999999500000375,0.1
-6,1e-06,0.9900990099009902,0.9999500037496875,0.009999500037496875,0.01
-5,1e-05,0.999000999000999,0.999999500000375,0.09950371902099893,0.001
-4,0.0001,0.9999000099990002,0.999999995,0.7071067811865476,9.999999999999999e-05
-3,0.001,0.999990000099999,0.9999999999500001,0.9950371902099892,1e-05
-2,0.01,0.9999990000010001,0.9999999999995001,0.9999500037496877,1e-06
-1,0.1,0.99999990000001,0.9999999999999949,0.9999995000003751,1e-07
0,1.0,0.9999999900000002,1.0,0.999999995,1e-08
1,10.0,0.9999999989999999,1.0,0.99999999995,1e-09
2,100.0,0.9999999999000001,1.0,0.9999999999995,1e-10
