h,estimate,exact_Hv,absolute_error
0.1,-0.8996642721322134,-0.8374829934089983,0.062181278723215105
0.01,-0.8439222299676752,-0.8374829934089983,0.006439236558676842
0.001,-0.8381290490752091,-0.8374829934089983,0.0006460556662107875
0.0001,-0.837547620214929,-0.8374829934089983,6.462680593066761e-05
1e-05,-0.8374894563067946,-0.8374829934089983,6.462897796266631e-06
1e-06,-0.8374836397706531,-0.8374829934089983,6.463616547547346e-07
1e-07,-0.8374830584578774,-0.8374829934089983,6.504887906100265e-08
1e-08,-0.8374830051671722,-0.8374829934089983,1.1758173878995137e-08
1e-09,-0.837483082882784,-0.8374829934089983,8.94737856027561e-08
1e-10,-0.8374834159496913,-0.8374829934089983,4.2254069299030306e-07
1e-11,-0.8374856363957406,-0.8374829934089983,2.642986742240616e-06
1e-12,-0.8374412274747556,-0.8374829934089983,4.1765934242765645e-05
1e-13,-0.8382183835919932,-0.8374829934089983,0.0007353901829948439
