method,case,steps,initial_sigma_min_nonzero,output_sigma1,output_sigma2,support_orthogonality_residual,polar_direction_residual,finite
classic,flat,0,0.7071067811865475,0.7071067811865475,0.7071067811865475,0.7071067811865477,0.41421356237309515,True
classic,flat,1,0.7071067811865475,0.8838834764831843,0.8838834764831843,0.3093592167691147,0.16421356237309515,True
classic,flat,3,0.7071067811865475,0.999436700792093,0.999436700792093,0.001592802020546953,0.0007966253794960822,True
classic,flat,5,0.7071067811865475,0.9999999999996603,0.9999999999996603,9.608965847144704e-13,4.804482923572352e-13,True
classic,flat,8,0.7071067811865475,1.0,1.0,0.0,0.0,True
classic,moderate,0,0.1,1.0,0.10000000000000005,0.99,0.9,True
classic,moderate,1,0.1,1.0,0.14949999999999986,0.97764975,0.8505,True
classic,moderate,3,0.1,1.0,0.328355515640779,0.8921826553482781,0.6716444843592209,True
classic,moderate,5,0.1,1.0,0.6587189737393347,0.5660893136357976,0.34128102626066525,True
classic,moderate,8,0.1,1.0,0.9982751634265239,0.0034466980857470464,0.0017248365734761073,True
classic,ill_conditioned,0,0.0001,1.0,9.99999999736822e-05,0.99999999,0.9999,True
classic,ill_conditioned,1,0.0001,1.0,0.00014999999954418968,0.9999999775000001,0.9998500000005,True
classic,ill_conditioned,3,0.0001,1.0,0.00033749999068887333,0.9999998860937563,0.9996625000093515,True
classic,ill_conditioned,5,0.0001,1.0,0.0007593748852178357,0.9999994233497836,0.9992406251147467,True
classic,ill_conditioned,8,0.0001,1.0,0.00256288614275233,0.9999934316146193,0.997437113857255,True
classic,rank_deficient,0,1.0,1.0,0.0,0.0,0.0,True
classic,rank_deficient,1,1.0,1.0,0.0,0.0,0.0,True
classic,rank_deficient,3,1.0,1.0,0.0,0.0,0.0,True
classic,rank_deficient,5,1.0,1.0,0.0,0.0,0.0,True
classic,rank_deficient,8,1.0,1.0,0.0,0.0,0.0,True
jordan,flat,0,0.7071067811865475,0.7071067811865475,0.7071067811865475,0.7071067811865477,0.41421356237309515,True
jordan,flat,1,0.7071067811865475,1.1065337242092985,1.1065337242092985,0.31737339929893094,0.1506614376269049,True
jordan,flat,3,0.7071067811865475,1.1005940697425907,1.1005940697425907,0.2988336584723148,0.1422614977242767,True
jordan,flat,5,0.7071067811865475,1.1081111156829313,1.1081111156829313,0.3223137590586108,0.15289220604208806,True
jordan,flat,8,0.7071067811865475,0.7036244504398326,0.7036244504398326,0.7140542930390007,0.4191383217437682,True
jordan,moderate,0,0.1,1.0,0.10000000000000005,0.99,0.9,True
jordan,moderate,1,0.1,0.7009999999999996,0.33969531500000005,1.020393380872601,0.7248470714798738,True
jordan,moderate,3,0.1,0.72070594993713,0.7070804126863011,0.6935396510466091,0.40473083775831636,True
jordan,moderate,5,0.1,0.7121200816580759,0.6964364094697517,0.7128367489325851,0.41836073056654005,True
jordan,moderate,8,0.1,1.108160687744773,1.081023813343315,0.2835900925719415,0.1351428603445799,True
jordan,ill_conditioned,0,0.0001,1.0,9.99999999736822e-05,0.99999999,0.9999,True
jordan,ill_conditioned,1,0.0001,0.7009999999999996,0.00034444999518841896,1.1219058362934995,1.0434137332119746,True
jordan,ill_conditioned,3,0.0001,0.72070594993713,0.0040867459633068546,1.1094712945731138,1.0343347504393747,True
jordan,ill_conditioned,5,0.0001,0.6964364094697517,0.04847308547315695,1.1227229661540894,0.9987764126993541,True
jordan,ill_conditioned,8,0.0001,1.2023272370661926,1.081023813343315,0.4764255637265258,0.2179476294606841,True
jordan,rank_deficient,0,1.0,1.0,0.0,0.0,0.0,True
jordan,rank_deficient,1,1.0,0.7009999999999996,0.0,0.5085990000000005,0.2990000000000004,True
jordan,rank_deficient,3,1.0,0.72070594993713,0.0,0.4805829337252191,0.27929405006287,True
jordan,rank_deficient,5,1.0,0.6964364094697517,0.0,0.5149763275648803,0.3035635905302483,True
jordan,rank_deficient,8,1.0,1.081023813343315,0.0,0.16861248501532233,0.08102381334331499,True
