method,s0,step,singular_value,absolute_target_error,squared_orthogonality_error
classic,1.0,0,1.0,0.0,0.0
classic,1.0,1,1.0,0.0,0.0
classic,1.0,2,1.0,0.0,0.0
classic,1.0,3,1.0,0.0,0.0
classic,1.0,4,1.0,0.0,0.0
classic,1.0,5,1.0,0.0,0.0
classic,1.0,6,1.0,0.0,0.0
classic,1.0,7,1.0,0.0,0.0
classic,1.0,8,1.0,0.0,0.0
classic,0.5,0,0.5,0.5,0.75
classic,0.5,1,0.6875,0.3125,0.52734375
classic,0.5,2,0.8687744140625,0.1312255859375,0.2452310174703598
classic,0.5,3,0.9752996308188813,0.02470036918111873,0.04879063012455387
classic,0.5,4,0.9990923725928302,0.0009076274071697643,0.0018144310268293218
classic,0.5,5,0.9999987646925805,1.235307419467091e-06,2.4706133129326346e-06
classic,0.5,6,0.9999999999977109,2.2890578321721478e-12,4.5781156643442955e-12
classic,0.5,7,0.9999999999999999,1.1102230246251565e-16,2.220446049250313e-16
classic,0.5,8,1.0,0.0,0.0
classic,0.1,0,0.1,0.9,0.99
classic,0.1,1,0.14950000000000002,0.8505,0.97764975
classic,0.1,2,0.22257931881250004,0.7774206811875,0.9504584468369635
classic,0.1,3,0.3283555156407791,0.6716444843592209,0.8921826553482781
classic,0.1,4,0.4748320635621007,0.5251679364378993,0.7745345114133572
classic,0.1,5,0.6587189737393347,0.34128102626066525,0.5660893136357976
classic,0.1,6,0.8451658596008231,0.15483414039917687,0.28569466976520175
classic,0.1,7,0.9658955501785631,0.0341044498214369,0.06704578614525092
classic,0.1,8,0.9982751634265239,0.0017248365734761073,0.0034466980857470464
classic,0.01,0,0.01,0.99,0.9999
classic,0.01,1,0.014999499999999999,0.9850005,0.99977501499975
classic,0.01,2,0.022497562668744375,0.9775024373312556,0.9994938596739659
classic,0.01,3,0.033740650541264496,0.9662593494587355,0.9988615685010522
classic,0.01,4,0.050591770102211164,0.9494082298977888,0.997440472797925
classic,0.01,5,0.07582290964742788,0.9241770903525721,0.994250886372598
classic,0.01,6,0.11351640720958017,0.8864835927904198,0.9871140252942288
classic,0.01,7,0.1695432260383739,0.8304567739616261,0.9712550945045009
classic,0.01,8,0.2518780870526233,0.7481219129473766,0.9365574292627111
classic,0.0,0,0.0,0.0,0.0
classic,0.0,1,0.0,0.0,0.0
classic,0.0,2,0.0,0.0,0.0
classic,0.0,3,0.0,0.0,0.0
classic,0.0,4,0.0,0.0,0.0
classic,0.0,5,0.0,0.0,0.0
classic,0.0,6,0.0,0.0,0.0
classic,0.0,7,0.0,0.0,0.0
classic,0.0,8,0.0,0.0,0.0
jordan,1.0,0,1.0,0.0,0.0
jordan,1.0,1,0.7009999999999996,0.2990000000000004,0.5085990000000005
jordan,1.0,2,1.1136202164814628,0.11362021648146281,0.24014998655622
jordan,1.0,3,0.72070594993713,0.27929405006287,0.4805829337252191
jordan,1.0,4,1.0899742015093417,0.08997420150934166,0.18804375995592704
jordan,1.0,5,0.6964364094697522,0.30356359053024784,0.5149763275648798
jordan,1.0,6,1.1187681237300144,0.11876812373001444,0.2516421146743768
jordan,1.0,7,0.7277284805190867,0.2722715194809133,0.47041125864138134
jordan,1.0,8,1.0810238133433168,0.08102381334331676,0.1686124850153261
jordan,0.5,0,0.5,0.5,0.75
jordan,0.5,1,1.188859375,0.18885937500000005,0.41338661352539074
jordan,0.5,2,0.8961963208952941,0.10380367910470589,0.19683215441373902
jordan,0.5,3,0.824366803452629,0.17563319654737097,0.32041937336529447
jordan,0.5,4,0.9378901940494456,0.062109805950554375,0.12036198390589326
jordan,0.5,5,0.7654385304543396,0.23456146954566037,0.41410385609590095
jordan,0.5,6,1.0289083174654274,0.028908317465427436,0.05865232574953683
jordan,0.5,7,0.6854876310531495,0.31451236894685053,0.5301067076731412
jordan,0.5,8,1.130584437365696,0.13058443736569592,0.2782211700135071
jordan,0.1,0,0.1,0.9,0.99
jordan,0.1,1,0.33969531500000005,0.660304685,0.8846070929670508
jordan,0.1,2,0.992096932738971,0.007903067261028962,0.015743676049925548
jordan,0.1,3,0.7070804126863017,0.29291958731369827,0.5000372899953692
jordan,0.1,4,1.1065648007338518,0.10656480073385177,0.22448565822314914
jordan,0.1,5,0.7121200816580746,0.2878799183419254,0.49288498929929714
jordan,0.1,6,1.1005515415241394,0.10055154152413937,0.21121369555115943
jordan,0.1,7,0.7057215804579609,0.29427841954203915,0.5019570508759179
jordan,0.1,8,1.108160687744771,0.10816068774477094,0.22802010986296373
jordan,0.01,0,0.01,0.99,0.9999
jordan,0.01,1,0.03444022520315,0.96555977479685,0.9988138708879563
jordan,0.01,2,0.11843439275251147,0.8815656072474886,0.9859732946133438
jordan,0.01,3,0.4000621617133595,0.5999378382866405,0.8399502667652338
jordan,0.01,4,1.093090348291679,0.09309034829167895,0.19484650952842397
jordan,0.01,5,0.6989170633216859,0.3010829366783141,0.5115149385977905
jordan,0.01,6,1.1159857553138879,0.11598575531388788,0.2454242060635088
jordan,0.01,7,0.723852229505765,0.276147770494235,0.4760379498395333
jordan,0.01,8,1.085996630400645,0.08599663040064498,0.17938868124155505
jordan,0.0,0,0.0,0.0,0.0
jordan,0.0,1,0.0,0.0,0.0
jordan,0.0,2,0.0,0.0,0.0
jordan,0.0,3,0.0,0.0,0.0
jordan,0.0,4,0.0,0.0,0.0
jordan,0.0,5,0.0,0.0,0.0
jordan,0.0,6,0.0,0.0,0.0
jordan,0.0,7,0.0,0.0,0.0
jordan,0.0,8,0.0,0.0,0.0
