rows_A,columns_B,rank,full_rank,mode,scale,base_rms,scaled_rms,scaled_spectral_norm
4096,1024,1024,True,unscaled,1.0,0.015625,0.015625,1.0
4096,1024,1024,True,original,2.0,0.015625,0.03125,2.0
4096,1024,1024,True,match_rms_adamw,12.8,0.015625,0.2,12.8
4096,1024,1024,True,spectral_unclamped,2.0,0.015625,0.03125,2.0
1024,4096,1024,True,unscaled,1.0,0.015625,0.015625,1.0
1024,4096,1024,True,original,1.0,0.015625,0.015625,1.0
1024,4096,1024,True,match_rms_adamw,12.8,0.015625,0.2,12.8
1024,4096,1024,True,spectral_unclamped,0.5,0.015625,0.0078125,0.5
4096,4096,4096,True,unscaled,1.0,0.015625,0.015625,1.0
4096,4096,4096,True,original,1.0,0.015625,0.015625,1.0
4096,4096,4096,True,match_rms_adamw,12.8,0.015625,0.2,12.8
4096,4096,4096,True,spectral_unclamped,1.0,0.015625,0.015625,1.0
8,4,2,False,unscaled,1.0,0.25,0.25,1.0
8,4,2,False,original,1.4142135623730951,0.25,0.3535533905932738,1.4142135623730951
8,4,2,False,match_rms_adamw,0.5656854249492381,0.25,0.14142135623730953,0.5656854249492381
8,4,2,False,spectral_unclamped,1.4142135623730951,0.25,0.3535533905932738,1.4142135623730951
