seed,factor_a,factor_b,validation_loss,paired_difference_a_at_b0,interaction
1,0,0,2.1,-0.30000000000000004,-0.30000000000000027
1,1,0,1.8,-0.30000000000000004,-0.30000000000000027
1,0,1,1.9000000000000001,-0.30000000000000004,-0.30000000000000027
1,1,1,1.3,-0.30000000000000004,-0.30000000000000027
2,0,0,1.9,-0.30000000000000004,-0.30000000000000027
2,1,0,1.5999999999999999,-0.30000000000000004,-0.30000000000000027
2,0,1,1.7,-0.30000000000000004,-0.30000000000000027
2,1,1,1.0999999999999999,-0.30000000000000004,-0.30000000000000027
3,0,0,2.05,-0.2999999999999998,-0.30000000000000027
3,1,0,1.75,-0.2999999999999998,-0.30000000000000027
3,0,1,1.85,-0.2999999999999998,-0.30000000000000027
3,1,1,1.25,-0.2999999999999998,-0.30000000000000027
4,0,0,1.95,-0.30000000000000004,-0.30000000000000004
4,1,0,1.65,-0.30000000000000004,-0.30000000000000004
4,0,1,1.75,-0.30000000000000004,-0.30000000000000004
4,1,1,1.15,-0.30000000000000004,-0.30000000000000004
5,0,0,2.0,-0.30000000000000004,-0.2999999999999998
5,1,0,1.7,-0.30000000000000004,-0.2999999999999998
5,0,1,1.8,-0.30000000000000004,-0.2999999999999998
5,1,1,1.2,-0.30000000000000004,-0.2999999999999998
