schedule,step,normalized_time,learning_rate,sum_learning_rate,sum_squared_learning_rate,adamw_decay_product_lambda_0_01
constant,0,0.0,1.0,101.0,101.0,0.36237201786049694
constant,1,0.01,1.0,101.0,101.0,0.36237201786049694
constant,2,0.02,1.0,101.0,101.0,0.36237201786049694
constant,3,0.03,1.0,101.0,101.0,0.36237201786049694
constant,4,0.04,1.0,101.0,101.0,0.36237201786049694
constant,5,0.05,1.0,101.0,101.0,0.36237201786049694
constant,6,0.06,1.0,101.0,101.0,0.36237201786049694
constant,7,0.07,1.0,101.0,101.0,0.36237201786049694
constant,8,0.08,1.0,101.0,101.0,0.36237201786049694
constant,9,0.09,1.0,101.0,101.0,0.36237201786049694
constant,10,0.1,1.0,101.0,101.0,0.36237201786049694
constant,11,0.11,1.0,101.0,101.0,0.36237201786049694
constant,12,0.12,1.0,101.0,101.0,0.36237201786049694
constant,13,0.13,1.0,101.0,101.0,0.36237201786049694
constant,14,0.14,1.0,101.0,101.0,0.36237201786049694
constant,15,0.15,1.0,101.0,101.0,0.36237201786049694
constant,16,0.16,1.0,101.0,101.0,0.36237201786049694
constant,17,0.17,1.0,101.0,101.0,0.36237201786049694
constant,18,0.18,1.0,101.0,101.0,0.36237201786049694
constant,19,0.19,1.0,101.0,101.0,0.36237201786049694
constant,20,0.2,1.0,101.0,101.0,0.36237201786049694
constant,21,0.21,1.0,101.0,101.0,0.36237201786049694
constant,22,0.22,1.0,101.0,101.0,0.36237201786049694
constant,23,0.23,1.0,101.0,101.0,0.36237201786049694
constant,24,0.24,1.0,101.0,101.0,0.36237201786049694
constant,25,0.25,1.0,101.0,101.0,0.36237201786049694
constant,26,0.26,1.0,101.0,101.0,0.36237201786049694
constant,27,0.27,1.0,101.0,101.0,0.36237201786049694
constant,28,0.28,1.0,101.0,101.0,0.36237201786049694
constant,29,0.29,1.0,101.0,101.0,0.36237201786049694
constant,30,0.3,1.0,101.0,101.0,0.36237201786049694
constant,31,0.31,1.0,101.0,101.0,0.36237201786049694
constant,32,0.32,1.0,101.0,101.0,0.36237201786049694
constant,33,0.33,1.0,101.0,101.0,0.36237201786049694
constant,34,0.34,1.0,101.0,101.0,0.36237201786049694
constant,35,0.35,1.0,101.0,101.0,0.36237201786049694
constant,36,0.36,1.0,101.0,101.0,0.36237201786049694
constant,37,0.37,1.0,101.0,101.0,0.36237201786049694
constant,38,0.38,1.0,101.0,101.0,0.36237201786049694
constant,39,0.39,1.0,101.0,101.0,0.36237201786049694
constant,40,0.4,1.0,101.0,101.0,0.36237201786049694
constant,41,0.41,1.0,101.0,101.0,0.36237201786049694
constant,42,0.42,1.0,101.0,101.0,0.36237201786049694
constant,43,0.43,1.0,101.0,101.0,0.36237201786049694
constant,44,0.44,1.0,101.0,101.0,0.36237201786049694
constant,45,0.45,1.0,101.0,101.0,0.36237201786049694
constant,46,0.46,1.0,101.0,101.0,0.36237201786049694
constant,47,0.47,1.0,101.0,101.0,0.36237201786049694
constant,48,0.48,1.0,101.0,101.0,0.36237201786049694
constant,49,0.49,1.0,101.0,101.0,0.36237201786049694
constant,50,0.5,1.0,101.0,101.0,0.36237201786049694
constant,51,0.51,1.0,101.0,101.0,0.36237201786049694
constant,52,0.52,1.0,101.0,101.0,0.36237201786049694
constant,53,0.53,1.0,101.0,101.0,0.36237201786049694
constant,54,0.54,1.0,101.0,101.0,0.36237201786049694
constant,55,0.55,1.0,101.0,101.0,0.36237201786049694
constant,56,0.56,1.0,101.0,101.0,0.36237201786049694
