signal,width,step,value,expected_slope,measured_slope
stable_hidden_update,16,1,0.25,0.0,0.0
faulty_hidden_update,16,1,0.25,0.5,0.5
readout_transient_step1,16,1,4.0,-0.5,-0.5
readout_after_transient,16,8,0.5,0.0,0.0
stable_hidden_update,64,1,0.25,0.0,0.0
faulty_hidden_update,64,1,0.5,0.5,0.5
readout_transient_step1,64,1,2.0,-0.5,-0.5
readout_after_transient,64,8,0.5,0.0,0.0
stable_hidden_update,256,1,0.25,0.0,0.0
faulty_hidden_update,256,1,1.0,0.5,0.5
readout_transient_step1,256,1,1.0,-0.5,-0.5
readout_after_transient,256,8,0.5,0.0,0.0
stable_hidden_update,1024,1,0.25,0.0,0.0
faulty_hidden_update,1024,1,2.0,0.5,0.5
readout_transient_step1,1024,1,0.5,-0.5,-0.5
readout_after_transient,1024,8,0.5,0.0,0.0
