family,width,learning_rate,validation_loss,grid_optimum,target_minimum,base_choice_regret,within_tau_0_10
muP,128,0.5,5.5,2.0,1.5,0.0,False
muP,128,1.0,2.5,2.0,1.5,0.0,False
muP,128,2.0,1.5,2.0,1.5,0.0,True
muP,128,4.0,2.5,2.0,1.5,0.0,False
muP,256,0.5,5.620899999999999,2.0,1.5009,0.0,False
muP,256,1.0,2.5609,2.0,1.5009,0.0,False
muP,256,2.0,1.5009,2.0,1.5009,0.0,True
muP,256,4.0,2.4409,2.0,1.5009,0.0,False
muP,512,0.5,5.7436,2.0,1.5036,0.0,False
muP,512,1.0,2.6236,2.0,1.5036,0.0,False
muP,512,2.0,1.5036,2.0,1.5036,0.0,True
muP,512,4.0,2.3836,2.0,1.5036,0.0,False
muP,1024,0.5,5.868099999999999,2.0,1.5081,0.0,False
muP,1024,1.0,2.6881000000000004,2.0,1.5081,0.0,False
muP,1024,2.0,1.5081,2.0,1.5081,0.0,True
muP,1024,4.0,2.3281,2.0,1.5081,0.0,False
standard,128,0.5,5.5,2.0,1.5,0.0,False
standard,128,1.0,2.5,2.0,1.5,0.0,False
standard,128,2.0,1.5,2.0,1.5,0.0,True
standard,128,4.0,2.5,2.0,1.5,0.0,False
standard,256,0.5,7.502500000000001,2.0,1.7025000000000001,0.0,False
standard,256,1.0,3.6025,2.0,1.7025000000000001,0.0,False
standard,256,2.0,1.7025000000000001,2.0,1.7025000000000001,0.0,True
standard,256,4.0,1.8025,2.0,1.7025000000000001,0.0,True
standard,512,0.5,9.91,4.0,1.51,0.8,False
standard,512,1.0,5.109999999999999,4.0,1.51,0.8,False
standard,512,2.0,2.31,4.0,1.51,0.8,False
standard,512,4.0,1.51,4.0,1.51,0.8,True
standard,1024,0.5,12.7225,4.0,1.6225,1.7000000000000002,False
standard,1024,1.0,7.022500000000001,4.0,1.6225,1.7000000000000002,False
standard,1024,2.0,3.3225000000000002,4.0,1.6225,1.7000000000000002,False
standard,1024,4.0,1.6225,4.0,1.6225,1.7000000000000002,True
