width,depth,branch_correlation,multiplier,residual_scale,normalized_accumulation
256,4,aligned,none,1.0,4.0
256,4,aligned,inverse_sqrt_depth,0.5,2.0
256,4,aligned,inverse_depth,0.25,1.0
256,4,orthogonal,none,1.0,2.0
256,4,orthogonal,inverse_sqrt_depth,0.5,1.0
256,4,orthogonal,inverse_depth,0.25,0.5
256,16,aligned,none,1.0,16.0
256,16,aligned,inverse_sqrt_depth,0.25,4.0
256,16,aligned,inverse_depth,0.0625,1.0
256,16,orthogonal,none,1.0,4.0
256,16,orthogonal,inverse_sqrt_depth,0.25,1.0
256,16,orthogonal,inverse_depth,0.0625,0.25
256,64,aligned,none,1.0,64.0
256,64,aligned,inverse_sqrt_depth,0.125,8.0
256,64,aligned,inverse_depth,0.015625,1.0
256,64,orthogonal,none,1.0,8.0
256,64,orthogonal,inverse_sqrt_depth,0.125,1.0
256,64,orthogonal,inverse_depth,0.015625,0.125
256,256,aligned,none,1.0,256.0
256,256,aligned,inverse_sqrt_depth,0.0625,16.0
256,256,aligned,inverse_depth,0.00390625,1.0
256,256,orthogonal,none,1.0,16.0
256,256,orthogonal,inverse_sqrt_depth,0.0625,1.0
256,256,orthogonal,inverse_depth,0.00390625,0.0625
