strategy,requests,training_cost,per_request_cost,total_lifecycle_cost,quality_loss,latency_ms,analytic_A_B_break_even_requests
A_large_short,0,1000.0,2.0,1000.0,2.0,25.0,500.0
B_small_long,0,1600.0,0.8,1600.0,2.0,20.0,500.0
C_dominated,0,1800.0,1.2,1800.0,2.0,30.0,500.0
A_large_short,250,1000.0,2.0,1500.0,2.0,25.0,500.0
B_small_long,250,1600.0,0.8,1800.0,2.0,20.0,500.0
C_dominated,250,1800.0,1.2,2100.0,2.0,30.0,500.0
A_large_short,500,1000.0,2.0,2000.0,2.0,25.0,500.0
B_small_long,500,1600.0,0.8,2000.0,2.0,20.0,500.0
C_dominated,500,1800.0,1.2,2400.0,2.0,30.0,500.0
A_large_short,1000,1000.0,2.0,3000.0,2.0,25.0,500.0
B_small_long,1000,1600.0,0.8,2400.0,2.0,20.0,500.0
C_dominated,1000,1800.0,1.2,3000.0,2.0,30.0,500.0
A_large_short,10000,1000.0,2.0,21000.0,2.0,25.0,500.0
B_small_long,10000,1600.0,0.8,9600.0,2.0,20.0,500.0
C_dominated,10000,1800.0,1.2,13800.0,2.0,30.0,500.0
