repetitions,unique_tokens_billion,seen_tokens_billion,marginal_weight,effective_tokens_billion,asymptotic_effective_limit_billion
1,100.0,100.0,1.0,100.0,250.0
2,100.0,200.0,0.6,160.0,250.0
3,100.0,300.0,0.36,196.0,250.0
4,100.0,400.0,0.21599999999999997,217.6,250.0
5,100.0,500.0,0.1296,230.56,250.0
6,100.0,600.0,0.07775999999999998,238.33599999999998,250.0
7,100.0,700.0,0.04665599999999999,243.0016,250.0
8,100.0,800.0,0.027993599999999993,245.80096,250.0
9,100.0,900.0,0.016796159999999994,247.48057599999999,250.0
10,100.0,1000.0,0.010077695999999997,248.4883456,250.0
