replicate,checkpoint,true_risk,validation_noise,observed_validation_risk,selected,selected_observed_risk,selection_optimism
1,1,1.0,0.1,1.1,0,0.92,0.07999999999999996
1,2,1.0,-0.04,0.96,0,0.92,0.07999999999999996
1,3,1.0,0.03,1.03,0,0.92,0.07999999999999996
1,4,1.0,-0.08,0.92,1,0.92,0.07999999999999996
1,5,1.0,0.02,1.02,0,0.92,0.07999999999999996
1,6,1.0,0.05,1.05,0,0.92,0.07999999999999996
2,1,1.0,0.02,1.02,0,0.89,0.10999999999999999
2,2,1.0,-0.11,0.89,1,0.89,0.10999999999999999
2,3,1.0,0.07,1.07,0,0.89,0.10999999999999999
2,4,1.0,0.04,1.04,0,0.89,0.10999999999999999
2,5,1.0,-0.03,0.97,0,0.89,0.10999999999999999
2,6,1.0,0.01,1.01,0,0.89,0.10999999999999999
3,1,1.0,-0.05,0.95,0,0.91,0.08999999999999997
3,2,1.0,0.03,1.03,0,0.91,0.08999999999999997
3,3,1.0,-0.02,0.98,0,0.91,0.08999999999999997
3,4,1.0,0.06,1.06,0,0.91,0.08999999999999997
3,5,1.0,-0.09,0.91,1,0.91,0.08999999999999997
3,6,1.0,0.04,1.04,0,0.91,0.08999999999999997
