t,observation,running_mean,fixed_time_hoeffding_halfwidth,finite_horizon_uniform_halfwidth,fixed_lower,fixed_upper,uniform_lower,uniform_upper,alpha,declared_horizon
1,0.2,0.2,2.716203031481239,3.6563948713638483,-2.516203031481239,2.9162030314812393,-3.456394871363848,3.8563948713638485,0.05,20
2,-0.1,0.05,1.9206455826398414,2.5854616082370914,-1.8706455826398414,1.9706455826398415,-2.5354616082370915,2.635461608237091,0.05,20
3,0.4,0.16666666666666666,1.5682005513993709,2.111020563245485,-1.4015338847327041,1.7348672180660376,-1.944353896578818,2.2776872299121513,0.05,20
4,0.3,0.2,1.3581015157406195,1.8281974356819242,-1.1581015157406196,1.5581015157406195,-1.6281974356819242,2.0281974356819243,0.05,20
5,-0.2,0.12000000000000002,1.2147229238166104,1.635189496990233,-1.0947229238166103,1.3347229238166105,-1.5151894969902329,1.755189496990233,0.05,20
6,0.5,0.18333333333333335,1.1088852441549781,1.4927169554951274,-0.9255519108216448,1.2922185774883115,-1.309383622161794,1.6760502888284607,0.05,20
7,0.1,0.17142857142857146,1.0266282473798718,1.381987360668678,-0.8551996759513003,1.1980568188084433,-1.2105587892401066,1.5534159320972496,0.05,20
8,0.4,0.2,0.9603227913199207,1.2927308041185457,-0.7603227913199206,1.1603227913199208,-1.0927308041185457,1.4927308041185456,0.05,20
9,0.2,0.2,0.9054010104937463,1.2187982904546162,-0.7054010104937463,1.1054010104937464,-1.0187982904546162,1.4187982904546161,0.05,20
10,0.3,0.21000000000000002,0.8589388166934752,1.1562535818468134,-0.6489388166934751,1.0689388166934752,-0.9462535818468134,1.3662535818468133,0.05,20
11,0.6,0.24545454545454548,0.818966028168106,1.102444533972153,-0.5735114827135606,1.0644205736226515,-0.8569899885176074,1.3478990794266985,0.05,20
12,-0.1,0.21666666666666667,0.7841002756996854,1.0555102816227424,-0.5674336090330188,1.000766942366352,-0.8388436149560757,1.2721769482894092,0.05,20
13,0.3,0.22307692307692306,0.7533391772751027,1.014101476311224,-0.5302622541981796,0.9764161003520258,-0.7910245532343009,1.237178399388147,0.05,20
14,0.2,0.22142857142857145,0.7259357954799679,0.9772126342429214,-0.5045072240513965,0.9473643669085393,-0.75578406281435,1.1986412056714928,0.05,20
15,0.4,0.23333333333333334,0.7013206070563293,0.9440770962633597,-0.4679872737229959,0.9346539403896625,-0.7107437629300264,1.177410429596693,0.05,20
16,0.5,0.25,0.6790507578703098,0.9140987178409621,-0.4290507578703098,0.9290507578703098,-0.6640987178409621,1.164098717840962,0.05,20
17,0.0,0.23529411764705882,0.6587759999658847,0.8868060155058732,-0.42348188231882583,0.8940701176129435,-0.6515118978588144,1.122100133152932,0.05,20
18,0.4,0.24444444444444446,0.6402151942132804,0.8618205360790304,-0.39577074976883597,0.8846596386577249,-0.617376091634586,1.1062649805234748,0.05,20
19,0.3,0.2473684210526316,0.6231397118087131,0.8388345127344956,-0.3757712907560815,0.8705081328613447,-0.591466091681864,1.0862029337871273,0.05,20
20,0.2,0.24500000000000002,0.6073614619083052,0.8175947484951165,-0.3623614619083052,0.8523614619083052,-0.5725947484951165,1.0625947484951166,0.05,20
